protein,carb,fat,sugar,fiber,age_group,label,glycemic_index,eco_score
0.0,279.33,95.93,42.08,10.39,15-20,bad,78.11,86.51
35.38,293.61,94.96,80.36,19.01,25-30,bad,67.74,82.12
61.58,325.26,66.5,20.45,23.91,20-25,ok,77.77,91.94
60.0,310.19,54.83,10.81,31.8,30-35,ok,13.92,41.16
33.49,220.4,91.17,28.91,28.04,20-25,ok,61.07,53.83
63.8,344.97,44.74,20.49,21.74,10-15,ok,44.12,77.87
30.09,297.52,136.62,39.91,29.45,45-50,bad,59.19,86.11
39.98,226.43,57.77,19.49,31.62,45-50,ok,56.21,53.94
68.15,283.93,56.14,13.21,18.64,35-40,ok,70.35,43.08
0.0,266.85,113.04,38.32,7.27,40-45,bad,75.03,46.15
61.06,320.37,51.54,18.05,29.71,15-20,ok,46.22,76.96
26.66,361.05,38.96,27.87,28.0,25-30,ok,59.86,55.59
41.92,279.9,85.11,18.47,25.05,25-30,ok,35.41,45.39
64.62,311.04,65.89,21.61,33.35,20-25,ok,59.92,46.89
46.22,329.4,83.57,14.02,29.73,30-35,ok,73.55,68.99
55.75,292.65,99.06,34.37,18.49,15-20,ok,63.51,23.37
44.33,290.22,81.01,24.95,20.83,30-35,ok,53.61,47.73
43.12,297.64,125.98,74.79,10.15,15-20,bad,48.0,70.95
31.06,329.78,104.22,62.3,16.89,10-15,bad,80.94,61.35
48.18,282.94,80.38,59.8,10.75,25-30,bad,59.52,46.2
55.51,227.48,56.89,7.29,27.72,10-15,ok,48.73,86.86
87.99,238.23,93.46,17.15,32.89,25-30,ok,67.83,44.7
52.79,190.04,83.28,17.55,24.15,15-20,ok,36.3,54.24
81.61,305.24,86.57,12.15,16.4,25-30,ok,67.36,56.6
74.03,319.14,92.17,23.54,31.06,30-35,ok,70.53,67.67
41.39,284.84,124.01,62.8,13.91,40-45,bad,64.85,57.57
17.78,269.47,76.5,25.26,29.34,15-20,ok,68.51,69.72
46.77,267.25,30.03,13.55,29.78,15-20,ok,47.18,42.0
51.36,356.81,81.98,26.56,36.07,40-45,ok,87.41,91.93
30.88,294.05,149.69,72.42,19.02,30-35,bad,62.35,48.87
58.08,255.72,108.26,19.43,21.91,35-40,bad,57.47,36.27
67.95,141.33,67.43,16.56,25.07,20-25,ok,39.76,77.35
41.59,347.26,66.86,34.29,28.41,35-40,ok,57.87,45.47
62.68,248.47,64.08,37.62,8.59,15-20,ok,89.4,16.48
93.48,267.21,111.69,20.03,26.66,35-40,ok,44.99,77.13
60.89,312.44,91.92,27.5,27.79,15-20,ok,37.67,59.51
69.34,277.32,77.01,30.64,23.66,20-25,ok,82.39,49.21
45.82,264.89,101.05,69.47,4.43,25-30,bad,72.77,47.91
29.54,266.7,72.3,64.72,16.63,10-15,bad,76.7,34.9
36.8,263.95,118.05,49.58,24.97,30-35,bad,41.92,64.43
74.7,340.25,47.43,51.11,20.9,30-35,ok,95.67,85.88
14.04,262.34,121.71,52.51,4.1,20-25,bad,55.0,55.32
53.74,412.52,83.23,17.33,32.75,35-40,ok,50.73,48.22
58.91,330.23,102.93,25.62,25.2,20-25,ok,81.86,78.91
59.49,254.07,93.23,32.96,13.96,30-35,ok,66.38,34.16
43.28,278.03,68.19,0.0,16.88,45-50,ok,38.21,93.76
13.96,330.53,138.47,49.09,0.0,15-20,bad,60.81,80.96
48.4,317.6,88.24,34.09,41.24,15-20,ok,48.97,76.03
58.87,96.65,63.92,31.28,23.44,15-20,ok,52.91,65.24
57.25,240.64,96.14,49.88,19.96,20-25,bad,78.46,13.69
25.55,281.18,109.85,50.38,4.2,35-40,bad,75.13,47.56
38.23,246.6,118.99,68.14,14.08,45-50,bad,40.53,70.88
45.53,181.41,101.6,55.37,0.99,30-35,bad,63.87,82.33
55.84,309.47,116.75,26.21,26.93,10-15,ok,79.54,53.06
32.85,312.8,110.13,67.99,10.12,40-45,bad,83.39,73.59
47.97,203.38,134.09,62.19,0.0,35-40,bad,61.08,41.6
14.71,254.82,73.75,56.88,19.61,40-45,bad,76.74,44.24
37.74,240.37,111.9,21.02,30.51,15-20,ok,41.97,85.01
59.4,292.37,60.0,17.93,24.16,30-35,ok,67.34,67.48
7.39,251.25,58.15,46.98,1.6,10-15,bad,61.21,70.98
40.4,212.56,80.58,33.66,24.12,40-45,ok,42.75,71.59
23.05,237.24,92.98,57.53,17.91,35-40,bad,30.36,69.82
6.84,190.38,139.45,60.63,11.41,25-30,bad,74.43,57.42
0.27,359.29,113.12,55.04,10.26,25-30,bad,79.61,67.67
37.56,279.79,98.49,51.02,17.84,45-50,bad,44.27,58.37
43.24,283.38,66.54,18.31,26.2,15-20,ok,52.11,63.18
54.02,228.43,90.68,59.67,7.25,35-40,bad,75.26,54.44
23.41,368.48,136.93,71.41,28.16,45-50,bad,55.09,65.04
41.69,254.04,68.72,19.06,20.36,45-50,ok,67.58,43.4
58.88,247.24,82.52,28.98,15.81,30-35,ok,77.16,54.3
19.83,300.93,111.62,49.81,19.57,20-25,bad,55.75,68.49
15.27,258.89,119.05,32.15,20.5,15-20,ok,77.21,61.12
49.08,259.31,74.16,15.75,23.18,10-15,ok,60.77,79.03
38.52,329.24,132.38,66.14,30.98,15-20,bad,48.94,47.89
18.74,289.94,62.78,24.89,29.76,15-20,ok,53.04,53.47
70.6,319.64,78.56,35.65,27.45,45-50,ok,50.8,52.68
17.5,297.57,119.5,50.3,6.7,45-50,bad,69.05,41.81
55.94,341.23,113.27,10.94,25.91,10-15,ok,37.08,44.89
44.87,245.8,68.79,19.32,17.37,40-45,ok,59.29,98.46
36.03,295.05,116.59,74.12,0.0,20-25,bad,62.01,87.73
47.59,294.33,118.34,22.21,36.5,40-45,ok,74.06,70.51
45.85,297.83,165.36,37.91,22.1,15-20,bad,77.47,67.65
61.23,261.51,29.49,24.78,24.42,10-15,ok,59.24,83.22
64.74,323.47,57.16,5.13,28.49,40-45,ok,49.41,53.63
20.45,388.43,55.03,26.58,29.8,45-50,ok,56.03,38.07
30.83,192.81,118.67,47.47,3.51,35-40,bad,62.03,70.68
75.8,236.43,59.82,40.68,20.75,15-20,ok,52.8,100.0
57.29,240.65,78.4,18.57,25.85,40-45,ok,64.91,48.19
47.7,247.38,86.01,54.48,32.02,10-15,bad,74.07,83.06
17.97,289.91,140.96,38.36,23.76,15-20,bad,46.14,53.88
37.3,231.31,128.72,56.42,23.64,30-35,bad,79.12,76.07
27.51,411.05,103.27,28.43,15.25,45-50,bad,63.6,57.42
54.46,288.32,79.16,14.49,26.78,10-15,ok,72.88,70.18
25.28,245.44,170.55,58.52,18.13,30-35,bad,78.23,78.35
35.82,318.29,102.79,50.94,2.17,10-15,bad,33.29,33.94
68.02,260.84,96.31,28.08,12.51,30-35,ok,100.0,36.65
56.99,355.64,75.33,2.17,21.17,10-15,ok,36.06,27.48
69.84,315.99,67.82,12.52,26.36,40-45,ok,64.83,62.8
50.16,260.62,60.08,32.98,26.8,25-30,ok,65.24,70.71
71.12,285.85,41.02,36.86,17.09,30-35,ok,71.42,46.48
44.05,183.56,132.6,61.65,3.25,20-25,bad,54.21,3.63
39.9,221.22,49.06,27.49,26.85,15-20,ok,42.83,49.28
85.92,220.28,81.52,19.25,37.5,45-50,ok,80.66,75.99
39.17,290.69,68.49,39.64,4.26,10-15,ok,64.88,51.93
59.84,322.8,56.54,27.66,23.66,15-20,ok,55.98,68.49
20.65,321.9,143.42,65.54,14.92,40-45,bad,83.19,56.97
52.74,425.87,57.03,30.61,23.69,30-35,ok,57.61,76.81
36.6,267.99,114.24,25.35,35.71,10-15,ok,71.24,35.41
18.25,261.7,115.76,56.21,6.54,20-25,bad,68.42,38.96
36.58,269.69,107.78,11.29,14.01,40-45,ok,53.98,74.28
81.14,411.32,42.78,14.52,25.58,30-35,ok,59.11,77.68
33.7,181.16,89.5,21.52,26.53,35-40,ok,34.2,47.45
34.19,262.53,98.82,58.67,19.8,45-50,bad,49.66,54.32
57.35,288.52,110.48,26.61,36.64,35-40,ok,44.91,51.95
49.61,337.42,71.17,45.46,19.64,20-25,bad,62.39,43.01
30.53,185.1,136.46,72.94,15.66,35-40,bad,57.28,43.93
47.59,310.98,85.43,23.17,25.36,35-40,ok,61.23,80.8
76.8,324.76,68.37,30.81,14.3,15-20,ok,59.64,84.16
49.54,210.14,44.49,3.25,35.21,10-15,ok,79.91,30.2
42.83,268.26,98.01,33.55,22.9,10-15,bad,68.96,68.11
48.92,280.5,93.13,33.15,25.26,25-30,ok,78.71,94.31
17.52,217.44,117.02,45.81,30.41,25-30,bad,73.98,57.07
58.77,268.15,79.86,12.6,17.76,45-50,ok,87.17,60.97
20.02,326.1,117.12,70.39,16.46,30-35,bad,68.28,56.59
67.14,188.77,69.14,25.92,11.35,45-50,ok,63.9,62.57
45.67,245.04,145.18,49.01,15.38,40-45,bad,60.24,83.72
20.53,354.91,96.55,57.23,3.04,15-20,bad,60.73,60.31
62.32,327.74,82.3,22.16,24.3,10-15,ok,48.3,73.7
11.38,303.29,120.54,61.61,14.01,25-30,bad,83.46,38.3
37.86,231.98,90.07,51.26,6.29,30-35,bad,64.59,40.68
43.26,316.31,85.67,18.75,27.89,10-15,ok,75.36,89.52
45.1,305.08,53.74,12.78,25.24,15-20,ok,33.07,40.24
54.61,261.12,71.26,32.32,25.32,35-40,ok,54.16,46.5
33.96,320.86,145.13,49.67,8.13,35-40,bad,58.35,26.65
70.84,246.91,91.82,18.69,6.62,25-30,ok,61.86,87.98
66.52,313.41,56.95,34.83,28.8,45-50,ok,55.39,17.16
40.23,244.61,83.5,52.01,0.0,25-30,bad,53.67,75.55
26.51,271.24,141.46,72.85,23.16,40-45,bad,51.65,51.07
41.82,350.56,40.03,31.65,20.05,45-50,ok,89.04,63.09
57.91,285.32,97.97,30.7,34.01,25-30,ok,76.34,57.19
62.38,270.36,44.88,31.22,21.01,40-45,ok,65.9,61.84
28.76,239.15,183.46,45.38,13.06,30-35,bad,47.45,49.86
24.96,299.93,136.47,51.36,13.1,30-35,bad,65.29,42.82
38.22,257.8,114.51,58.11,6.13,45-50,bad,61.53,75.1
46.0,347.57,42.32,23.97,15.75,20-25,ok,75.59,89.28
46.55,217.35,80.52,9.29,40.08,35-40,ok,53.81,34.16
36.26,333.26,67.87,41.71,19.61,40-45,ok,95.8,57.36
74.24,253.78,52.56,32.32,23.4,40-45,ok,78.42,61.0
60.59,283.94,123.36,62.96,17.57,40-45,bad,50.26,89.31
47.64,287.71,85.63,7.19,29.15,35-40,ok,69.85,57.44
46.08,301.63,69.43,11.4,18.01,35-40,ok,80.84,38.59
18.77,280.87,91.68,84.11,18.58,35-40,bad,82.36,52.56
39.97,228.13,69.92,29.83,30.75,40-45,ok,50.91,51.82
41.62,347.98,67.34,32.83,30.06,45-50,ok,57.03,34.1
26.46,299.54,124.64,36.29,25.59,35-40,bad,67.7,62.21
36.51,380.17,135.83,69.99,8.13,25-30,bad,82.53,44.83
72.76,327.24,59.07,26.48,13.95,15-20,ok,68.53,73.37
49.47,271.76,93.16,23.18,27.58,15-20,ok,66.16,82.96
58.66,225.98,71.48,30.63,28.58,25-30,ok,51.43,100.0
54.76,291.31,90.59,34.73,13.76,10-15,ok,60.41,66.2
34.53,323.57,93.07,60.57,26.93,25-30,bad,69.26,55.77
44.58,320.78,87.83,19.11,21.25,40-45,ok,30.3,55.31
36.61,219.25,88.59,20.34,23.93,40-45,ok,59.52,55.26
56.09,273.94,97.2,20.25,23.75,20-25,ok,43.74,70.71
32.76,241.0,60.45,19.93,25.16,40-45,ok,59.78,38.43
51.56,342.88,47.19,25.97,25.26,40-45,ok,67.67,56.92
65.73,271.43,74.73,25.91,25.67,35-40,ok,81.17,57.61
39.91,256.88,55.47,11.0,18.21,30-35,ok,65.84,60.03
32.87,295.53,151.88,47.09,7.04,40-45,bad,67.82,56.3
32.34,269.68,32.76,20.18,30.53,40-45,ok,67.04,70.35
39.74,285.48,58.44,13.12,21.12,25-30,ok,99.39,47.37
27.3,260.19,53.42,12.96,33.59,20-25,ok,71.19,63.51
51.89,254.63,73.37,9.94,35.08,15-20,ok,66.31,74.98
58.45,332.18,40.5,21.3,29.78,35-40,ok,62.95,47.83
59.38,244.52,74.16,45.06,28.64,35-40,ok,50.11,41.17
55.34,271.66,110.28,15.99,21.38,45-50,ok,66.91,97.55
48.06,287.99,55.38,27.48,26.07,20-25,ok,66.73,29.32
30.3,236.85,169.38,47.07,7.8,20-25,bad,46.61,72.54
14.64,350.96,64.83,15.65,21.4,15-20,ok,41.22,28.39
28.85,310.14,112.01,52.08,9.66,15-20,bad,34.62,43.19
48.01,302.52,70.07,29.91,12.61,35-40,ok,48.62,66.76
25.05,306.53,129.64,56.35,14.24,20-25,bad,71.63,74.83
46.71,294.93,75.5,27.36,44.22,15-20,ok,85.45,48.76
0.0,262.15,123.71,59.58,20.95,10-15,bad,66.02,25.21
27.31,272.36,127.14,77.2,7.73,35-40,bad,59.26,39.75
50.23,318.98,77.67,20.08,30.62,10-15,ok,62.86,49.38
47.54,274.04,60.19,29.27,31.88,30-35,ok,58.97,78.67
46.34,226.27,105.3,32.02,37.18,15-20,ok,75.9,55.42
39.73,285.84,114.3,0.85,20.72,35-40,ok,63.37,65.52
51.22,302.1,110.8,28.46,21.55,15-20,ok,73.74,92.41
46.48,308.56,19.48,23.39,35.54,10-15,ok,74.01,43.27
54.06,283.91,81.58,26.23,27.69,40-45,ok,82.1,64.43
42.81,320.6,81.94,9.35,27.54,15-20,ok,76.29,49.52
73.58,152.36,87.23,21.11,29.38,40-45,ok,85.56,68.2
43.69,294.47,82.84,36.53,15.31,45-50,ok,100.0,79.77
30.89,306.18,56.07,33.79,31.6,30-35,ok,44.02,68.25
49.53,310.22,54.65,23.8,25.7,45-50,ok,64.88,65.7
30.61,245.96,47.55,31.14,21.98,10-15,ok,68.49,46.62
62.64,234.66,80.0,31.14,21.73,35-40,ok,66.84,65.77
52.51,258.34,133.68,62.76,0.0,35-40,bad,85.66,64.2
17.29,290.19,135.42,56.7,11.79,30-35,bad,72.46,61.1
19.9,193.36,90.65,68.88,28.3,15-20,bad,39.39,54.39
29.25,240.5,69.05,5.89,27.49,10-15,ok,65.3,60.77
47.92,286.84,110.39,52.38,13.46,35-40,bad,74.04,63.04
75.72,332.74,86.66,38.4,6.94,45-50,ok,97.14,74.07
36.09,333.91,104.09,4.35,14.1,45-50,ok,48.55,54.68
26.22,301.08,86.85,87.98,13.43,45-50,bad,82.4,46.27
60.59,319.02,55.46,9.29,16.95,40-45,ok,58.74,92.15
41.17,270.64,63.68,27.85,17.22,35-40,ok,70.89,67.56
61.95,324.06,76.68,52.34,16.07,20-25,bad,69.29,68.16
55.34,329.95,68.63,23.42,32.45,15-20,ok,43.68,41.12
50.88,190.1,80.81,35.67,20.74,25-30,ok,56.11,79.03
42.7,275.76,131.72,62.84,28.36,15-20,bad,97.19,30.36
25.9,322.64,57.1,30.76,26.61,25-30,ok,82.86,27.98
49.77,198.94,75.71,26.92,12.38,35-40,ok,100.0,64.71
46.81,298.05,68.8,24.87,28.41,45-50,ok,65.91,60.12
54.33,331.13,59.06,43.34,29.5,15-20,ok,41.81,31.61
56.16,241.26,87.85,18.67,34.16,15-20,ok,57.92,24.4
59.8,242.37,69.7,30.73,14.08,35-40,ok,42.13,52.04
43.99,273.86,84.22,18.76,30.35,45-50,ok,64.41,56.13
72.37,264.65,66.85,20.95,38.88,10-15,ok,74.84,44.5
71.4,255.76,67.37,35.37,29.79,45-50,ok,53.14,85.92
32.06,274.92,58.01,32.72,12.55,30-35,ok,79.52,81.34
31.48,248.66,87.74,57.04,18.87,10-15,bad,51.56,86.34
55.19,394.55,94.41,27.1,40.06,40-45,ok,48.07,75.85
52.4,331.86,69.81,13.73,28.84,35-40,ok,68.43,54.15
50.56,208.99,98.5,29.42,15.84,10-15,ok,68.24,30.64
50.81,255.39,86.38,13.24,41.99,15-20,ok,61.98,42.75
63.1,351.39,76.27,19.35,21.29,10-15,ok,39.57,51.87
61.2,225.19,57.34,21.48,33.59,20-25,ok,73.25,55.88
62.53,308.38,78.05,30.04,36.84,20-25,ok,43.8,52.91
65.35,289.91,95.49,26.75,32.99,10-15,ok,66.14,74.32
36.66,319.22,99.59,23.47,19.97,10-15,ok,74.3,60.6
73.73,283.21,54.4,9.55,22.81,30-35,ok,45.38,80.82
93.28,342.94,56.24,1.33,39.23,15-20,ok,60.05,91.93
69.37,322.04,94.15,11.05,22.54,40-45,ok,81.46,77.64
28.09,356.78,44.9,40.36,31.01,40-45,ok,47.03,56.04
53.03,364.81,67.25,24.52,25.06,35-40,ok,55.46,55.43
32.22,213.15,89.17,24.19,21.09,35-40,ok,44.66,38.67
66.23,397.55,47.63,21.8,19.61,10-15,ok,52.93,84.47
25.63,263.07,105.75,35.13,14.42,30-35,bad,86.96,53.07
70.91,282.37,112.4,18.68,15.16,30-35,ok,49.12,58.61
59.38,285.31,85.79,16.4,12.26,10-15,ok,68.93,72.16
77.36,322.92,73.38,38.77,28.51,40-45,ok,47.66,76.02
36.76,250.84,73.93,77.37,19.67,35-40,bad,72.19,39.48
36.87,209.68,83.37,58.6,18.46,35-40,bad,100.0,65.39
53.2,273.64,81.88,25.7,39.93,40-45,ok,60.15,96.58
56.55,322.67,75.1,27.6,14.52,35-40,ok,62.86,44.62
84.01,235.36,72.59,11.0,27.54,30-35,ok,82.32,63.49
19.54,318.8,110.88,47.78,30.47,20-25,bad,82.61,19.56
27.7,256.24,79.23,31.16,8.83,30-35,ok,85.12,47.39
45.18,318.62,63.29,32.1,37.19,20-25,ok,42.01,37.4
36.59,295.67,78.65,13.7,22.66,15-20,ok,84.56,48.69
44.26,356.17,93.86,35.58,22.35,30-35,ok,74.77,54.08
37.46,301.44,84.45,23.4,10.06,30-35,ok,81.59,72.28
57.3,308.79,117.58,11.88,20.08,15-20,ok,68.12,54.78
53.48,287.07,104.66,15.0,25.39,20-25,ok,73.83,53.45
39.34,189.76,82.18,18.31,31.14,45-50,ok,44.34,71.82
55.04,305.37,103.61,32.23,11.88,40-45,ok,52.89,19.33
45.21,375.92,105.34,26.45,22.07,40-45,ok,43.16,78.67
36.41,309.48,77.81,43.5,11.51,35-40,ok,33.49,14.42
69.63,189.06,102.22,36.84,20.43,30-35,ok,43.81,91.04
51.42,233.26,111.16,28.61,28.42,10-15,ok,49.51,44.48
44.7,257.69,75.15,11.8,44.13,10-15,ok,72.31,72.94
27.76,248.06,81.94,29.19,29.11,25-30,ok,30.58,30.42
50.01,255.6,57.46,32.95,26.74,45-50,ok,57.98,20.95
58.69,203.18,26.9,15.1,19.72,45-50,ok,58.11,68.35
50.86,355.8,90.3,22.28,17.93,20-25,ok,54.12,88.93
59.69,346.5,139.24,51.56,16.06,45-50,bad,55.9,68.37
54.6,208.74,96.54,18.39,33.83,15-20,ok,74.3,51.29
65.58,183.99,53.04,38.48,32.17,20-25,ok,77.18,79.05
56.45,279.28,69.23,24.94,26.16,30-35,ok,64.88,39.18
0.0,244.16,151.14,46.54,27.21,40-45,bad,38.75,27.03
56.67,203.1,52.37,34.65,34.4,30-35,ok,44.7,52.27
14.75,201.63,148.08,37.73,17.39,15-20,bad,73.21,37.36
38.54,316.22,92.36,54.87,23.53,15-20,bad,75.75,40.55
36.44,307.62,85.5,26.27,29.09,25-30,ok,61.82,58.36
44.65,265.23,72.48,15.16,39.11,35-40,ok,63.98,46.68
76.64,284.59,75.11,25.21,28.9,40-45,ok,58.07,100.0
56.0,249.12,65.6,13.37,10.35,20-25,ok,67.6,67.25
53.8,256.58,99.38,46.65,17.74,20-25,ok,74.57,87.33
48.19,314.38,65.72,17.24,37.64,25-30,ok,65.45,58.92
55.17,283.28,68.76,29.53,19.39,20-25,ok,68.64,77.76
34.33,258.18,100.57,56.05,1.84,25-30,bad,44.48,73.47
65.05,315.17,117.01,23.46,40.11,30-35,ok,67.84,63.16
55.43,195.24,115.81,62.23,16.12,25-30,bad,49.09,51.15
59.48,299.21,87.14,23.29,17.78,25-30,ok,58.98,62.69
71.18,300.82,98.29,32.76,29.37,45-50,ok,50.09,58.31
39.64,250.1,77.92,15.26,31.98,45-50,ok,51.03,23.36
63.13,451.74,61.83,21.33,16.82,30-35,ok,71.18,44.38
9.95,402.43,107.27,46.54,18.16,20-25,bad,71.85,58.05
43.13,308.67,78.97,28.14,29.75,30-35,ok,64.76,76.05
53.49,228.4,98.95,44.17,7.61,15-20,bad,50.38,83.03
71.25,191.1,81.32,16.23,23.05,20-25,ok,36.12,88.91
32.72,340.22,80.29,23.97,19.36,25-30,ok,54.49,46.71
12.1,311.57,152.52,45.69,12.82,40-45,bad,57.4,47.8
30.24,339.31,110.51,57.19,19.33,45-50,bad,75.41,87.32
22.24,188.63,106.48,60.22,16.72,10-15,bad,68.51,60.36
63.05,176.83,91.42,51.41,17.25,45-50,bad,52.69,56.71
58.76,214.16,112.78,49.23,23.31,20-25,bad,83.87,60.71
53.35,257.15,77.68,15.0,29.63,15-20,ok,53.45,75.15
50.68,343.7,63.41,37.63,24.2,20-25,ok,42.07,85.02
29.67,273.33,56.89,37.18,22.04,10-15,ok,60.83,52.4
28.46,336.7,58.85,20.45,25.0,35-40,ok,78.37,51.26
36.14,243.72,73.88,11.88,18.69,10-15,ok,55.81,70.38
34.69,302.81,89.95,63.37,16.92,10-15,bad,64.41,44.34
49.6,289.04,75.83,27.55,40.63,20-25,ok,67.14,70.5
65.87,370.81,71.28,21.93,34.45,25-30,ok,79.25,100.0
59.89,273.16,77.54,12.14,7.61,20-25,ok,57.11,65.83
29.45,295.85,65.15,21.58,21.96,45-50,ok,55.56,32.79
52.03,190.89,96.73,44.11,10.79,20-25,bad,68.44,75.91
33.87,278.04,124.62,45.62,22.21,10-15,bad,71.82,68.66
37.21,320.49,87.31,9.6,30.85,30-35,ok,58.42,86.42
15.94,254.55,107.08,81.69,0.19,30-35,bad,63.83,86.41
63.29,356.02,78.86,29.02,23.11,10-15,ok,93.05,71.64
45.55,236.87,56.52,34.63,6.64,35-40,ok,38.17,64.0
60.84,298.13,82.87,24.37,32.69,30-35,ok,57.8,62.13
45.31,289.0,121.85,41.66,14.59,25-30,bad,56.43,50.37
23.62,247.74,84.01,10.15,17.77,15-20,ok,31.52,58.18
59.92,262.74,86.29,23.78,13.16,40-45,ok,54.92,56.04
36.91,274.17,78.69,20.86,32.15,45-50,ok,68.34,34.97
46.17,355.2,73.27,10.36,18.83,20-25,ok,72.07,40.81
56.06,255.37,106.45,19.53,33.18,30-35,ok,60.18,74.47
30.72,280.83,87.38,44.02,31.43,20-25,bad,60.1,56.8
43.03,300.28,55.6,29.73,19.14,30-35,ok,53.39,46.09
66.16,322.45,117.77,43.03,3.58,25-30,bad,82.09,75.12
69.68,236.12,77.41,20.37,29.03,30-35,ok,59.32,81.17
66.19,277.49,60.87,28.16,26.22,20-25,ok,63.54,84.94
48.2,189.29,52.37,31.41,27.26,20-25,ok,32.45,54.19
69.83,329.66,84.75,14.31,28.6,30-35,ok,81.91,75.86
21.43,346.16,110.57,58.63,9.94,15-20,bad,49.59,66.01
42.69,264.46,124.1,41.14,17.75,10-15,bad,76.07,60.91
33.19,229.12,27.99,33.25,26.04,20-25,ok,71.41,83.47
76.8,308.17,81.45,34.72,32.41,20-25,ok,73.37,62.37
43.78,200.61,83.49,35.03,0.0,30-35,bad,81.05,99.13
57.02,271.33,60.45,31.53,23.8,25-30,ok,59.32,63.16
30.59,389.87,134.0,59.12,28.5,25-30,bad,72.12,73.84
33.32,219.41,101.29,32.97,14.1,40-45,ok,52.54,58.44
38.12,313.68,78.79,25.68,5.61,45-50,ok,75.83,56.88
36.59,244.05,84.45,34.56,20.7,25-30,ok,80.68,73.17
55.07,367.43,92.01,18.79,32.66,15-20,ok,56.09,69.39
31.75,308.05,74.24,30.81,13.38,40-45,ok,52.15,38.53
9.87,171.96,142.84,67.06,13.23,15-20,bad,57.85,39.19
56.95,333.41,136.05,51.12,11.23,30-35,bad,73.42,35.83
60.29,280.36,86.07,35.83,36.03,30-35,ok,72.86,24.53
57.27,307.87,83.92,29.64,25.63,15-20,ok,51.88,71.01
50.78,282.81,55.06,15.2,30.74,15-20,ok,56.59,33.36
23.44,256.44,75.36,15.48,30.9,30-35,ok,67.32,62.66
28.83,336.14,112.44,64.32,14.09,15-20,bad,58.63,92.14
52.1,282.55,118.47,36.74,26.04,10-15,ok,56.33,43.99
48.32,282.68,82.84,27.01,9.21,10-15,ok,65.89,67.17
46.93,156.75,98.53,45.77,21.31,35-40,ok,27.71,22.08
74.8,304.34,66.99,34.04,44.64,25-30,ok,50.54,80.03
16.35,370.93,108.28,41.46,13.12,20-25,bad,57.11,56.27
32.59,273.06,117.86,48.57,37.65,10-15,bad,54.03,77.27
56.92,335.98,78.96,24.21,29.69,45-50,ok,72.15,71.13
60.9,270.68,74.99,31.65,30.28,30-35,ok,40.73,44.6
54.44,322.71,86.99,25.0,38.81,35-40,ok,71.79,60.62
38.17,262.2,12.03,25.24,30.39,30-35,ok,45.93,78.04
78.03,262.61,54.0,27.8,18.99,45-50,ok,70.42,52.27
37.64,270.67,119.11,78.78,26.03,20-25,bad,72.83,69.74
27.83,345.14,113.68,57.66,0.31,40-45,bad,92.89,24.0
37.08,435.58,131.35,41.89,16.44,15-20,bad,88.74,66.39
69.65,364.81,92.63,44.73,14.59,35-40,ok,70.11,69.07
35.47,292.57,118.03,40.71,11.89,45-50,bad,55.21,63.3
24.71,242.78,71.98,29.01,40.82,45-50,ok,59.69,33.97
33.16,170.8,124.68,38.97,21.51,45-50,bad,57.65,76.21
33.91,265.26,94.13,48.77,21.87,45-50,bad,94.09,25.7
57.8,218.71,102.15,22.31,15.62,45-50,ok,63.77,57.22
83.66,251.8,73.47,46.46,29.15,40-45,ok,66.16,48.61
34.62,249.97,90.09,11.72,32.05,15-20,ok,68.77,51.36
25.35,278.11,90.67,64.2,13.37,10-15,bad,49.78,61.87
73.82,270.88,83.66,40.72,27.68,25-30,ok,61.88,60.9
42.1,349.7,52.16,9.54,16.28,35-40,ok,66.07,60.85
41.24,246.02,78.42,37.0,19.05,25-30,ok,65.97,50.5
54.82,307.55,71.61,15.27,32.01,15-20,ok,58.55,48.44
45.43,304.44,78.52,75.85,4.88,20-25,bad,85.54,51.13
64.07,225.75,73.72,34.69,31.86,40-45,ok,78.01,83.89
0.0,247.07,146.18,49.76,8.83,45-50,bad,48.61,47.2
36.05,209.38,84.5,12.41,31.12,25-30,ok,54.03,68.88
41.44,238.51,68.1,21.1,29.07,45-50,ok,53.19,57.33
57.73,312.15,74.26,32.51,24.43,20-25,ok,28.27,50.57
17.0,273.75,129.17,80.31,9.4,30-35,bad,68.39,62.41
39.46,299.04,83.82,47.15,12.01,45-50,bad,74.45,60.32
42.32,358.04,64.96,20.25,28.94,25-30,ok,80.04,51.06
23.35,248.76,84.22,63.6,9.41,15-20,bad,43.51,68.72
18.3,343.26,95.11,28.8,16.0,10-15,ok,78.22,61.48
34.8,260.54,103.46,45.99,29.55,40-45,ok,46.88,63.04
61.06,304.73,88.7,27.27,44.04,20-25,ok,79.06,37.09
32.01,295.59,19.31,23.23,26.72,10-15,ok,35.97,34.77
21.98,210.0,46.93,14.76,32.67,40-45,ok,67.51,39.01
55.57,389.83,56.02,20.6,20.71,45-50,ok,51.32,62.92
55.33,228.67,75.03,31.33,28.05,45-50,ok,49.63,91.57
24.94,278.34,116.79,49.19,19.52,20-25,bad,39.88,43.72
50.08,272.47,31.52,17.72,11.12,40-45,ok,64.57,88.95
41.18,240.63,80.65,25.36,27.77,10-15,ok,56.91,78.39
48.66,201.88,72.1,39.11,24.19,45-50,ok,77.69,74.65
66.63,250.55,58.59,8.46,14.59,20-25,ok,41.03,68.49
61.96,308.48,102.81,37.27,23.55,40-45,ok,74.81,48.37
